"Film"	"Production Company(s)"	"Producer(s)"	"Year"
"332"	"E.T. the Extra-Terrestrial"	"Universal, Amblin Entertainment"	"Steven Spielberg, Kathleen Kennedy [M]"	1982
"333"	"Missing"	"Universal"	"Edward Lewis, Mildred Lewis"	1982
"334"	"Tootsie"	"Columbia"	"Sydney Pollack, Dick Richards"	1982
"335"	"The Verdict"	"20th Century Fox"	"Richard D. Zanuck, David Brown"	1982
"336"	"Terms of Endearment"	"Paramount"	"James L. Brooks"	1983
"337"	"The Big Chill"	"Columbia"	"Michael Shamberg"	1983
"338"	"The Dresser"	"Columbia, Goldcrest, World Film Services"	"Peter Yates"	1983
"339"	"The Right Stuff"	"Warner Bros., The Ladd Company"	"Irwin Winkler, Robert Chartoff"	1983
"340"	"Tender Mercies"	"Universal, EMI"	"Philip S. Hobel"	1983
"341"	"Amadeus"	"Orion"	"Saul Zaentz"	1984
"342"	"The Killing Fields"	"Enigma Film Productions"	"David Puttnam"	1984
"343"	"A Passage to India"	"Columbia, G.W. Films, Thorn EMI"	"John Brabourne, Richard Goodwin"	1984
"344"	"Places in the Heart"	"Tri-Star"	"Arlene Donovan"	1984
"345"	"A Soldier's Story"	"Columbia"	"Norman Jewison, Ronald L. Schwary, Patrick Palmer"	1984
"346"	"Out of Africa"	"Universal, Mirage Enterprises"	"Sydney Pollack"	1985
"347"	"The Color Purple"	"Warner Bros., Amblin Entertainment"	"Steven Spielberg, Kathleen Kennedy, Frank Marshall, Quincy Jones"	1985
"348"	"Kiss of the Spider Woman"	"Island Alive, FilmDallas Pictures, HB Filmes"	"David Weisman"	1985
"349"	"Prizzi's Honor"	"20th Century Fox, ABC Motion Pictures"	"John Foreman"	1985
"350"	"Witness"	"Paramount"	"Edward S. Feldman"	1985
"351"	"Platoon"	"Orion, Hemdale"	"Arnold Kopelson"	1986
"352"	"Children of a Lesser God"	"Paramount"	"Burt Sugarman, Patrick J. Palmer"	1986
"353"	"Hannah and Her Sisters"	"Orion"	"Robert Greenhut"	1986
"354"	"The Mission"	"Warner Bros., Enigma Film Productions, Goldcrest Films, Kingsmere"	"Fernando Ghia, David Puttnam"	1986
"355"	"A Room with a View"	"Merchant Ivory"	"Ismail Merchant"	1986
"356"	"The Last Emperor [O]"	"Columbia, Recorded Picture Company, Yanco Films, TAO Films, AAA, Soprofilms"	"Jeremy Thomas"	1987
"357"	"Broadcast News"	"20th Century Fox"	"James L. Brooks"	1987
"358"	"Fatal Attraction"	"Paramount"	"Stanley R. Jaffe, Sherry Lansing"	1987
"359"	"Hope and Glory"	"Columbia, Goldcrest Films, Nelson Entertainment"	"John Boorman"	1987
"360"	"Moonstruck"	"Metro-Goldwyn-Mayer"	"Patrick J. Palmer, Norman Jewison"	1987
"361"	"Rain Man"	"United Artists"	"Mark Johnson"	1988
"362"	"The Accidental Tourist"	"Warner Bros."	"Lawrence Kasdan, Charles Okun, Michael Grillo"	1988
"363"	"Dangerous Liaisons"	"Warner Bros., Lorimar, N.F.H. Productions"	"Norma Heyman, Hank Moonjean"	1988
"364"	"Mississippi Burning"	"Orion"	"Frederick Zollo, Robert F. Colesberry"	1988
"365"	"Working Girl"	"20th Century Fox"	"Douglas Wick"	1988
"366"	"Driving Miss Daisy"	"Warner Bros."	"Richard D. Zanuck, Lili Fini Zanuck"	1989
"367"	"Born on the Fourth of July"	"Universal"	"A. Kitman Ho, Oliver Stone"	1989
"368"	"Dead Poets Society"	"Touchstone"	"Steven Haft, Paul Junger Witt, Tony Thomas"	1989
"369"	"Field of Dreams"	"Universal"	"Lawrence Gordon, Charles Gordon"	1989
"370"	"My Left Foot"	"Miramax, Ferndale Films, Granada Television International"	"Noel Pearson"	1989
"371"	"Dances with Wolves"	"Orion, TIG Productions"	"Jim Wilson and Kevin Costner"	1990
"372"	"Awakenings"	"Columbia"	"Walter F. Parkes and Lawrence Lasker"	1990
"373"	"Ghost"	"Paramount"	"Lisa Weinstein"	1990
"374"	"The Godfather Part III"	"Paramount, American Zoetrope"	"Francis Ford Coppola"	1990
"375"	"Goodfellas"	"Warner Bros."	"Irwin Winkler"	1990
"376"	"The Silence of the Lambs"	"Orion"	"Edward Saxon, Kenneth Utt, and Ron Bozman"	1991
"377"	"Beauty and the Beast"	"Disney"	"Don Hahn"	1991
"378"	"Bugsy"	"TriStar, Mulholland Productions, Baltimore Pictures"	"Mark Johnson, Barry Levinson, and Warren Beatty"	1991
"379"	"JFK"	"Warner Bros., Regency Enterprises"	"A. Kitman Ho and Oliver Stone"	1991
"380"	"The Prince of Tides"	"Columbia"	"Barbra Streisand and Andrew S. Karsch"	1991
"381"	"Unforgiven"	"Warner Bros., Malpaso"	"Clint Eastwood"	1992
"382"	"The Crying Game"	"Palace Pictures"	"Stephen Woolley"	1992
"383"	"A Few Good Men"	"Columbia, Castle Rock Entertainment"	"David Brown, Rob Reiner, and Andrew Scheinman"	1992
"384"	"Howards End"	"Merchant Ivory"	"Ismail Merchant"	1992
"385"	"Scent of a Woman"	"Universal"	"Martin Brest"	1992
"386"	"Schindler's List"	"Universal, Amblin Entertainment"	"Steven Spielberg, Gerald R. Molen, and Branko Lustig"	1993
"387"	"The Fugitive"	"Warner Bros."	"Arnold Kopelson"	1993
"388"	"In the Name of the Father"	"Universal, Hell's Kitchen"	"Jim Sheridan"	1993
"389"	"The Piano"	"Jan Chapman Productions"	"Jan Chapman"	1993
"390"	"The Remains of the Day"	"Columbia, Merchant Ivory"	"Mike Nichols, John Calley, and Ismail Merchant"	1993
"391"	"Forrest Gump"	"Paramount"	"Wendy Finerman, Steve Tisch, and Steve Starkey"	1994
"392"	"Four Weddings and a Funeral"	"PolyGram, Working Title"	"Duncan Kenworthy"	1994
"393"	"Pulp Fiction"	"Miramax"	"Lawrence Bender"	1994
"394"	"Quiz Show"	"Hollywood"	"Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford"	1994
"395"	"The Shawshank Redemption"	"Columbia, Castle Rock Entertainment"	"Niki Marvin"	1994
"396"	"Braveheart"	"Paramount, 20th Century Fox, Icon"	"Mel Gibson, Alan Ladd, Jr., and Bruce Davey"	1995
"397"	"Apollo 13"	"Universal, Imagine Entertainment"	"Brian Grazer"	1995
"398"	"Babe"	"Universal, Kennedy Miller Productions"	"Bill Miller, George Miller, and Doug Mitchell"	1995
"399"	"Il Postino: The Postman [K]"	"Cecchi Gori Group Tiger Cinematografica, Esterno Mediterraneo Film, Blue Dahlia, Penta Film"	"Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele"	1995
"400"	"Sense and Sensibility"	"Columbia, Mirage"	"Lindsay Doran"	1995
"401"	"The English Patient"	"Miramax, Tiger Moth Productions"	"Saul Zaentz"	1996
"402"	"Fargo"	"PolyGram"	"Ethan Coen"	1996
"403"	"Jerry Maguire"	"TriStar, Gracie Films"	"James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe"	1996
"404"	"Secrets & Lies"	"October, Thin Man Films"	"Simon Channing-Williams"	1996
"405"	"Shine"	"Momentum Films"	"Jane Scott"	1996
"406"	"Titanic"	"Paramount, 20th Century Fox, Lightstorm Entertainment"	"James Cameron and Jon Landau"	1997
"407"	"As Good as It Gets"	"Tristar, Gracie Films"	"James L. Brooks, Bridget Johnson, Kristi Zea"	1997
"408"	"The Full Monty"	"Redwave Films"	"Umberto Pasolini"	1997
"409"	"Good Will Hunting"	"Miramax, A Band Apart"	"Lawrence Bender"	1997
"410"	"L.A. Confidential"	"Warner Bros., Regency Enterprises"	"Curtis Hanson, Arnon Milchan, and Michael G. Nathanson"	1997
"411"	"Shakespeare in Love"	"Miramax, Universal, Bedford Falls Company"	"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman"	1998
"412"	"Elizabeth"	"PolyGram, Working Title"	"Alison Owen, Eric Fellner, and Tim Bevan"	1998
"413"	"Life Is Beautiful [K]"	"Melampo Cinematografica, Pacific Pictures"	"Elda Ferri and Gianluigi Braschi"	1998
"414"	"Saving Private Ryan"	"DreamWorks, Paramount, Amblin Entertainment"	"Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn"	1998
"415"	"The Thin Red Line"	"20th Century Fox"	"Robert Michael Geisler, John Roberdeau, and Grant Hill"	1998
"416"	"American Beauty"	"DreamWorks, Jinks/Cohen Co."	"Bruce Cohen and Dan Jinks"	1999
"417"	"The Cider House Rules"	"Miramax, FilmColony"	"Richard N. Gladstein"	1999
"418"	"The Green Mile"	"Warner Bros., Castle Rock Entertainment"	"Frank Darabont and David Valdes"	1999
"419"	"The Insider"	"Touchstone, Spyglass Entertainment"	"Pieter Jan Brugge and Michael Mann"	1999
"420"	"The Sixth Sense"	"Hollywood, Spyglass Entertainment"	"Frank Marshall, Kathleen Kennedy, and Barry Mendel"	1999
"421"	"Gladiator"	"DreamWorks, Universal, Scott Free Productions, Red Wagon Entertainment"	"Douglas Wick, David Franzoni, and Branko Lustig"	2000
"422"	"Chocolat"	"Miramax"	"David Brown, Kit Golden, and Leslie Holleran"	2000
"423"	"Crouching Tiger, Hidden Dragon [K]"	"Sony Pictures Classics"	"William Kong, Hsu Li Kong, and Ang Lee"	2000
"424"	"Erin Brockovich"	"Universal, Columbia, Jersey Films"	"Danny DeVito, Michael Shamberg, and Stacey Sher"	2000
"425"	"Traffic"	"Universal, USA, Bedford Falls Company"	"Edward Zwick, Marshall Herskovitz, and Laura Bickford"	2000
"426"	"A Beautiful Mind"	"DreamWorks, Universal, Imagine Entertainment"	"Brian Grazer and Ron Howard"	2001
"427"	"Gosford Park"	"USA, Sandcastle 5 Productions, Zestwick"	"Robert Altman, Bob Balaban, and David Levy"	2001
"428"	"In the Bedroom"	"Miramax, Good Machine"	"Graham Leader, Ross Katz, and Todd Field"	2001
"429"	"The Lord of the Rings: The Fellowship of the Ring"	"New Line Cinema, WingNut Films"	"Peter Jackson, Fran Walsh, and Barrie M. Osborne"	2001
"430"	"Moulin Rouge!"	"20th Century Fox, Bazmark"	"Martin Brown, Baz Luhrmann, and Fred Baron"	2001
"431"	"Chicago"	"Miramax, Producer Circle Co., Storyline Entertainment"	"Martin Richards"	2002
"432"	"Gangs of New York"	"Miramax"	"Alberto Grimaldi and Harvey Weinstein"	2002
"433"	"The Hours"	"Paramount, Miramax, Scott Rudin Productions"	"Scott Rudin and Robert Fox"	2002
"434"	"The Lord of the Rings: The Two Towers"	"New Line Cinema, WingNut Films"	"Barrie M. Osborne, Fran Walsh, and Peter Jackson"	2002
"435"	"The Pianist"	"Focus Features, RP Productions, Heritage Films, Babelsberg Studios, Runteam"	"Roman Polanski, Robert Benmussa, and Alain Sarde"	2002
"436"	"The Lord of the Rings: The Return of the King"	"New Line Cinema, WingNut Films"	"Barrie M. Osborne, Peter Jackson, and Fran Walsh"	2003
"437"	"Lost in Translation"	"Focus Features, American Zoetrope"	"Ross Katz and Sofia Coppola"	2003
"438"	"Master and Commander: The Far Side of the World"	"20th Century Fox, Miramax, Universal, Samuel Goldlwyn Films"	"Samuel Goldwyn, Jr., Peter Weir, and Duncan Henderson"	2003
"439"	"Mystic River"	"Warner Bros.,Village Roadshow Pictures, Malpaso"	"Robert Lorenz, Judie G. Hoyt, and Clint Eastwood"	2003
"440"	"Seabiscuit"	"DreamWorks, Universal, Spyglass Entertainment, Kennedy/Marshall Productions"	"Kathleen Kennedy, Frank Marshall, and Gary Ross"	2003
"441"	"Million Dollar Baby"	"Warner Bros., Lakeshore Entertainment, Malpaso"	"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg"	2004
"442"	"The Aviator"	"Warner Bros., Miramax, Forward Pass, Appian Way"	"Michael Mann and Graham King"	2004
"443"	"Finding Neverland"	"Miramax, Filmcolony"	"Richard N. Gladstein and Nellie Bellflower"	2004
"444"	"Ray"	"Universal, Britsol Bay Productions, Anvil Films"	"Taylor Hackford, Stuart Benjamin, and Howard Baldwin"	2004
"445"	"Sideways"	"Fox Searchlight"	"Michael London"	2004
"446"	"Crash"	"Lionsgate, BlackFriar's Bridge, Harris Company, ApolloProScreen"	"Paul Haggis and Cathy Schulman"	2005
"447"	"Brokeback Mountain"	"Focus Features, River Road Entertainment"	"Diana Ossana and James Schamus"	2005
"448"	"Capote"	"Sony Pictures Classics, United Artists, A-Line Pictures, Cooper's Town Productions, Infinity Media"	"Caroline Baron, William Vince, and Michael Ohoven"	2005
"449"	"Good Night, and Good Luck"	"Warner Independent, Section Eight Productions, 2929 Entertainment"	"Grant Heslov"	2005
"450"	"Munich"	"DreamWorks, Universal, Amblin Entertainment, Kennedy/Marshall Productions"	"Steven Spielberg, Kathleen Kennedy, and Barry Mendel"	2005
"451"	"The Departed"	"Warner Bros., Plan B Pictures, Initial Entertainment Group, Vertigo Entertainment"	"Graham King"	2006
"452"	"Babel"	"Paramount Vantage, Anonymous Content, Zeta Film"	"Alejandro González Iñárritu, Steve Golin, and Jon Kilik"	2006
"453"	"Letters from Iwo Jima [K]"	"DreamWorks, Warner Bros., Malpaso, Amblin Entertainment"	"Clint Eastwood, Steven Spielberg, and Robert Lorenz"	2006
"454"	"Little Miss Sunshine"	"Fox Searchlight, Big Beach, Deep River Productions"	"David T. Friendly, Peter Saraf, and Marc Turtletaub"	2006
"455"	"The Queen"	"Miramax, Granada Productions"	"Andy Harries, Christine Langan, and Tracey Seaward"	2006
"456"	"No Country for Old Men"	"Paramount Vantage, Miramax, Mike Zoss Productions"	"Scott Rudin, Joel Coen, and Ethan Coen"	2007
"457"	"Atonement"	"Focus Features, Working Title"	"Tim Bevan, Eric Fellner, and Paul Webster"	2007
"458"	"Juno"	"Fox Searchlight, Mr. Mudd"	"Lianne Halfon, Mason Novick, and Russell Smith"	2007
"459"	"Michael Clayton"	"Warner Bros., Castle Rock Entertainment, Section Eight Productions, Mirage Enterprises"	"Jennifer Fox, Kerry Orent, and Sydney Pollack"	2007
"460"	"There Will Be Blood"	"Paramount Vantage, Miramax"	"Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar"	2007
"461"	"Slumdog Millionaire [O]"	"Fox Searchlight, Warner Bros., Celador, Film4"	"Christian Colson"	2008
"462"	"The Curious Case of Benjamin Button"	"Paramount, Warner Bros., Kennedy/Marshall Productions"	"Kathleen Kennedy, Frank Marshall, and Cean Chaffin"	2008
"463"	"Frost/Nixon"	"Universal, Imagine Entertainment, Working Title"	"Ron Howard, Brian Grazer, and Eric Fellner"	2008
"464"	"Milk"	"Focus Features, Jinks/Cohen Co., Groundswell"	"Bruce Cohen and Dan Jinks"	2008
"465"	"The Reader"	"The Weinstein Co., Mirage, Neunte Babelsberg Film"	"Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris"	2008
"466"	"The Hurt Locker"	"Summit Entertainment, Voltage Pictures, First Light Productions, Kingsgate Films"	"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro"	2009
"467"	"Avatar"	"20th Century Fox, Lightstorm Entertainment, Dune Entertainment, Ingenious Media"	"James Cameron and Jon Landau"	2009
"468"	"The Blind Side"	"Warner Bros., Alcon Entertainment"	"Gil Netter, Andrew A. Kosove, and Broderick Johnson"	2009
"469"	"District 9"	"Tristar, WingNut Films"	"Peter Jackson and Carolynne Cunningham"	2009
"470"	"An Education"	"Sony Pictures Classics, Finola Dwyer Productions, Wildgaze Films"	"Finola Dwyer and Amanda Posey"	2009
"471"	"Inglourious Basterds"	"The Weinstein Co., Universal, Band Apart, Zehnte Babelsberg Film"	"Lawrence Bender"	2009
"472"	"Precious: Based on the Novel \"Push\" by Sapphire"	"Lionsgate, Lee Daniels Entertainment, Smokewood Entertainment"	"Lee Daniels, Sarah Siegel-Magness, and Gary Magness"	2009
"473"	"A Serious Man"	"Focus Features, Working Title, Mike Zoss Productions"	"Joel Coen and Ethan Coen"	2009
"474"	"Up"	"Disney, Pixar"	"Jonas Rivera"	2009
"475"	"Up in the Air"	"Paramount, The Montecito Picture Company"	"Daniel Dubiecki, Ivan Reitman, and Jason Reitman"	2009
"476"	"The King's Speech"	"The Weinstein Co., Momentum Pictures, UK Film Council, See-Saw Films, Bedlam Productions"	"Iain Canning, Emile Sherman, and Gareth Unwin"	2010
"477"	"127 Hours"	"Fox Searchlight, Pathé, Dune Entertainment, Everest Entertainment"	"Danny Boyle, John Smithson, and Christian Colson"	2010
"478"	"Black Swan"	"Fox Searchlight, Dune Entertainment, Cross Creek Pictures, Phoenix Pictures"	"Scott Franklin, Mike Medavoy, and Brian Oliver"	2010
"479"	"The Fighter"	"Paramount, The Weinstein Co., Mandeville Films"	"David Hoberman, Todd Lieberman, and Mark Wahlberg"	2010
"480"	"Inception"	"Warner Bros., Legendary Pictures, Syncopy"	"Christopher Nolan and Emma Thomas"	2010
"481"	"The Kids Are All Right"	"Focus Features, Gilbert Films"	"Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray"	2010
"482"	"The Social Network"	"Columbia, Scott Rudin Productions, Trigger Street Productions"	"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin"	2010
"483"	"Toy Story 3"	"Disney, Pixar"	"Darla K. Anderson"	2010
"484"	"True Grit"	"Paramount, Skydance Productions, Mike Zoss Productions"	"Joel Coen, Ethan Coen, and Scott Rudin"	2010
"485"	"Winter's Bone"	"Roadside Attractions"	"Alix Madigan and Anne Rosellini"	2010
"486"	"The Artist"	"The Weinstein Co., La Petite Reine, ARP Sélection, Studio 37, La Class Americane, France 3 Cinema, U Film, Jouror Productions, JD Prod, Wild Bunch"	"Thomas Langmann"	2011
"487"	"The Descendants"	"Fox Searchlight"	"Jim Burke, Alexander Payne, and Jim Taylor"	2011
"488"	"Extremely Loud and Incredibly Close"	"Warner Bros., Scott Rudin Productions"	"Scott Rudin"	2011
"489"	"The Help"	"DreamWorks, Touchstone, Participant Media, Imageation Abu Dahbi"	"Brunson Green, Chris Columbus, and Michael Barnathan"	2011
"490"	"Hugo"	"Paramount, GK Films, Infinitum Nihil"	"Graham King and Martin Scorsese"	2011
"491"	"Midnight in Paris"	"Sony Pictures Classics, Gravier, Mediapro, Pontchartrain, Versatil"	"Letty Aronson and Stephen Tenenbaum"	2011
"492"	"Moneyball"	"Columbia, Scott Rudin Productions, Michael De Luca Productions"	"Michael De Luca, Rachael Horovitz, and Brad Pitt"	2011
"493"	"The Tree of Life"	"Fox Searchlight, River Road Entertainment"	"Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill"	2011
"494"	"War Horse"	"DreamWorks, Touchstone, Amblin Entertainment, Kennedy/Marshall Company"	"Steven Spielberg and Kathleen Kennedy"	2011
"495"	"Argo"	"Warner Bros., GK Films, Smoke House Pictures"	"Grant Heslov, Ben Affleck, and George Clooney"	2012
"496"	"Amour [K]"	"Sony Pictures Classics, Les Films du Losange, X Filme Creative Pool, Wega Film Production"	"Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz"	2012
"497"	"Beasts of the Southern Wild"	"Fox Searchlight, Cinereach"	"Dan Janvey, Josh Penn, and Michael Gottwald"	2012
"498"	"Django Unchained"	"The Weinstein Co., Columbia, Band Apart"	"Stacey Sher, Reginald Hudlin, and Pilar Savone"	2012
"499"	"Les Misérables"	"Universal, Working Title, Cameron Mackintosh Limited"	"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh"	2012
"500"	"Life of Pi"	"20th Century Fox, Dune Entertainment, Ingenious Media, Haishang Films"	"Gil Netter, Ang Lee, and David Womark"	2012
"501"	"Lincoln"	"DreamWorks, Touchstone, 20th Century Fox, Amblin Entertainment, Participant, Kennedy/Marshall Company"	"Steven Spielberg and Kathleen Kennedy"	2012
"502"	"Silver Linings Playbook"	"The Weinstein Co."	"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon"	2012
"503"	"Zero Dark Thirty"	"Columbia, Annapurna Pictures"	"Mark Boal, Kathryn Bigelow, and Megan Ellison"	2012
"504"	"12 Years a Slave"	"Fox Searchlight, Regency Enterprises, River Road Entertainment, Plan B Entertainment, New Regency, Film4 Productions"	"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas"	2013
"505"	"American Hustle"	"Columbia, Atlas Entertainment, Annapurna Pictures"	"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon"	2013
"506"	"Captain Phillips"	"Columbia, Michael De Luca Productions, Scott Rudin Productions, Trigger Street"	"Scott Rudin, Dana Brunetti, and Michael De Luca"	2013
"507"	"Dallas Buyers Club"	"Focus Features, Truth Entertainment, Voltage Pictures"	"Robbie Brenner and Rachel Winter"	2013
"508"	"Gravity"	"Warner Bros., Esperanto Filmoj, Heyday Films"	"Alfonso Cuarón and David Heyman"	2013
"509"	"Her"	"Warner Bros., Entertainment Film Distributors, Annapurna Pictures"	"Megan Ellison, Spike Jonze, and Vincent Landay"	2013
"510"	"Nebraska"	"Paramount Vantage, FilmNation Entertainment"	"Albert Berger and Ron Yerxa"	2013
"511"	"Philomena"	"The Weinstein Co., Pathé, BBC Films, British Film Institute, Canal+, Cine+, Baby Cow Productions, Magnolia Mae Films"	"Gabrielle Tana, Steve Coogan, and Tracey Seaward"	2013
"512"	"The Wolf of Wall Street"	"Paramount, Universal, Red Granite Pictures, Appian Way Productions, Sikelia Productions, Emjag Productions"	"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff"	2013
"513"	"Birdman or (The Unexpected Virtue of Ignorance)"	"Fox Searchlight, Regency Enterprises, Worldview Entertainment"	"Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole"	2014
"514"	"American Sniper"	"Warner Bros., Village Roadshow Pictures, Mad Chance Productions, 22nd and Indiana Pictures, Malpaso"	"Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan"	2014
"515"	"Boyhood"	"IFC, Detour Filmproduction"	"Richard Linklater and Cathleen Sutherland"	2014
"516"	"The Grand Budapest Hotel"	"Fox Searchlight, American Empirical Pictures, Indian Paintbrush, Babelsberg Studio"	"Wes Anderson, Scott Rudin, Steven Rales, and Jeremy Dawson"	2014
"517"	"The Imitation Game"	"The Weinstein Co., Black Bear Pictures, Bristol Automotive, StudioCanal"	"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman"	2014
"518"	"Selma"	"Paramount, Pathé, Cloud Eight Films, Plan B Entertainment, Harpo Films"	"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner"	2014
"519"	"The Theory of Everything"	"Focus Features, Working Title"	"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten"	2014
"520"	"Whiplash"	"Sony Pictures Classics, Bold Films, Blumhouse Productions, Right of Way Films"	"Jason Blum, Helen Estabrook, and David Lancaster"	2014
"521"	"The Big Short"	"Paramount, Regency Enterprises, Plan B Entertainment"	"Dede Gardner, Jeremy Kleiner, and Brad Pitt"	2015
"522"	"Bridge of Spies"	"DreamWorks, Touchstone, 20th Century Fox, Amblin Entertainment, Participant Media, Afterworks Limited, Studio Babelsberg, Marc Platt Productions"	"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger"	2015
"523"	"Brooklyn"	"Fox Searchlight, TSG Entertainment, BFI, BBC Films, Wildgaze Films, Irish Film Board, Parallel Film Productions, Item 7"	"Finola Dwyer and Amanda Posey"	2015
"524"	"Mad Max: Fury Road"	"Warner Bros., Village Roadshow Pictures, Kennedy Miller Mitchell, RatPac-Dune Entertainment"	"Doug Mitchell and George Miller"	2015
"525"	"The Martian"	"20th Century Fox, TSG Entertainment, Scott Free Productions, Kinberg Genre"	"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam"	2015
"526"	"The Revenant"	"20th Century Fox, Regency Enterprises, RatPac Entertainment, Anonymous Content, Appian Way Productions, M Productions, New Regency Pictures, RatPac-Dune Entertainment"	"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon"	2015
"527"	"Room"	"A24, TG4 Films, Nope Films, Mauvais Plan, Inc., CampTrace Entertainment, and Lester Peroductions"	"Ed Guiney"	2015
"528"	"Spotlight"	"Open Road, Anonymous Content, First Look Media, Participant Media, Rocklin/Faust"	"Blye Faust, Steve Golin, Nicole Rocklin, and Michael Sugar"	2015
