"Film"	"Production Company(s)"	"Producer(s)"	"Year"
"75"	"The Good Earth"	"Metro-Goldwyn-Mayer"	"Irving Thalberg, Albert Lewin"	1937
"76"	"In Old Chicago"	"20th Century Fox"	"Darryl F. Zanuck, Kenneth MacGowan"	1937
"77"	"Lost Horizon"	"Columbia"	"Frank Capra"	1937
"78"	"One Hundred Men and a Girl"	"Universal"	"Charles R. Rogers, Joe Pasternak"	1937
"79"	"Stage Door"	"RKO Radio"	"Pandro S. Berman"	1937
"80"	"A Star Is Born"	"Selznick International, United Artists"	"David O. Selznick"	1937
"81"	"You Can't Take It With You"	"Columbia"	"Frank Capra"	1938
"82"	"The Adventures of Robin Hood"	"Warner Bros."	"Hal B. Wallis, Henry Blanke"	1938
"83"	"Alexander's Ragtime Band"	"20th Century Fox"	"Darryl F. Zanuck, Harry Joe Brown"	1938
"84"	"Boys Town"	"Metro-Goldwyn-Mayer"	"John W. Considine, Jr."	1938
"85"	"The Citadel"	"Metro-Goldwyn-Mayer"	"Victor Saville"	1938
"86"	"Four Daughters"	"Warner Bros., First National"	"Hal B. Wallis, Henry Blanke"	1938
"87"	"Grand Illusion [K]"	"R. A. O., World Pictures"	"Frank Rollmer, Albert Pinkovitch"	1938
"88"	"Jezebel"	"Warner Bros."	"Hal B. Wallis, Henry Blanke"	1938
"89"	"Pygmalion"	"Pascal Film Productions"	"Gabriel Pascal"	1938
"90"	"Test Pilot"	"Metro-Goldwyn-Mayer"	"Louis Lighton"	1938
"91"	"Gone with the Wind"	"Selznick International, Metro-Goldwyn-Mayer"	"David O. Selznick"	1939
"92"	"Dark Victory"	"Warner Bros."	"David Lewis"	1939
"93"	"Goodbye, Mr. Chips"	"Metro-Goldwyn-Mayer"	"Victor Saville"	1939
"94"	"Love Affair"	"RKO Radio"	"Leo McCarey"	1939
"95"	"Mr. Smith Goes to Washington"	"Columbia"	"Frank Capra"	1939
"96"	"Ninotchka"	"Metro-Goldwyn-Mayer"	"Sidney Franklin"	1939
"97"	"Of Mice and Men"	"Roach, United Artists"	"Lewis Milestone"	1939
"98"	"Stagecoach"	"United Artists"	"Walter Wanger"	1939
"99"	"The Wizard of Oz"	"Metro-Goldwyn-Mayer"	"Mervyn LeRoy"	1939
"100"	"Wuthering Heights"	"Goldwyn, United Artists"	"Samuel Goldwyn"	1939
"101"	"Rebecca"	"Selznick International, United Artists"	"David O. Selznick"	1940
"102"	"All This, and Heaven Too"	"Warner Bros."	"Jack L. Warner, Hal B. Wallis, David Lewis"	1940
"103"	"Foreign Correspondent"	"Wanger, United Artists"	"Walter Wanger"	1940
"104"	"The Grapes of Wrath"	"20th Century Fox"	"Darryl F. Zanuck, Nunnally Johnson"	1940
"105"	"The Great Dictator"	"Chaplin, United Artists"	"Charlie Chaplin"	1940
"106"	"Kitty Foyle"	"RKO Radio"	"David Hempstead"	1940
"107"	"The Letter"	"Warner Bros."	"Hal B. Wallis"	1940
"108"	"The Long Voyage Home"	"Argosy, Wanger, United Artists"	"John Ford"	1940
"109"	"Our Town"	"Lesser, United Artists"	"Sol Lesser"	1940
"110"	"The Philadelphia Story"	"Metro-Goldwyn-Mayer"	"Joseph L. Mankiewicz"	1940
"111"	"How Green Was My Valley"	"20th Century Fox"	"Darryl F. Zanuck"	1941
"112"	"Blossoms in the Dust"	"Metro-Goldwyn-Mayer"	"Irving Asher"	1941
"113"	"Citizen Kane"	"RKO Radio"	"Orson Welles"	1941
"114"	"Here Comes Mr. Jordan"	"Columbia"	"Everett Riskin"	1941
"115"	"Hold Back the Dawn"	"Paramount"	"Arthur Hornblow, Jr."	1941
"116"	"The Little Foxes"	"RKO Radio"	"Samuel Goldwyn"	1941
"117"	"The Maltese Falcon"	"Warner Bros."	"Hal B. Wallis"	1941
"118"	"One Foot in Heaven"	"Warner Bros."	"Hal B. Wallis"	1941
"119"	"Sergeant York"	"Warner Bros."	"Hal B. Wallis, Jesse L. Lasky"	1941
"120"	"Suspicion"	"RKO Radio"	"Alfred Hitchcock"	1941
"121"	"Mrs. Miniver"	"Metro-Goldwyn-Mayer"	"Sidney Franklin"	1942
"122"	"The Invaders (49th Parallel)"	"Ortus"	"Michael Powell"	1942
